Municipio,Conf,factor_densidad,Año,factor_pods
Acacias,4,1.1,3,1.018567867
Acacias,4,1.1,4,1.016340699
Acacias,4,1.1,5,1.015418317
Acacias,4,1.2,2,1.041888062
Acacias,4,1.2,3,1.037135735
Acacias,4,1.2,4,1.032258065
Acacias,4,1.2,5,1.031679164
Acacias,4,1.3,2,1.053489196
Acacias,4,1.3,3,1.052007221
Acacias,4,1.3,4,1.04817543
Acacias,4,1.3,5,1.04735024
Cubarral,1,0.7,2,0.906166932
Cubarral,1,0.7,3,0.939068408
Cubarral,1,0.7,4,0.948819897
Cubarral,1,0.7,5,0.95055593
Cubarral,1,0.8,2,0.940014177
Cubarral,1,0.8,3,0.958834651
Cubarral,1,0.8,4,0.966331106
Cubarral,1,0.8,5,0.966644205
Cubarral,1,0.9,2,0.970583023
Cubarral,1,0.9,3,0.980663458
Cubarral,1,0.9,4,0.983588529
Cubarral,1,0.9,5,0.984332884
Cubarral,1,1,2,1
Cubarral,1,1,3,1
Cubarral,1,1,4,1
Cubarral,1,1,5,1
Cubarral,1,1.1,2,1.02268297
Cubarral,1,1.1,3,1.018219319
Cubarral,1,1.1,4,1.015988495
Cubarral,1,1.1,5,1.016425202
Cubarral,1,1.2,2,1.041201489
Cubarral,1,1.2,3,1.03712616
Cubarral,1,1.2,4,1.031892395
Cubarral,1,1.2,5,1.033018868
Cubarral,1,1.3,2,1.05280879
Cubarral,1,1.3,3,1.052337573
Cubarral,1,1.3,4,1.04788089
Cubarral,1,1.3,5,1.047506739
Cubarral,2,0.7,2,0.925867537
Cubarral,2,0.7,3,0.938961039
Cubarral,2,0.7,4,0.955725462
Cubarral,2,0.7,5,0.951882302
Cubarral,2,0.8,2,0.954291045
Cubarral,2,0.8,3,0.961212121
Cubarral,2,0.8,4,0.97101707
Cubarral,2,0.8,5,0.967892687
Cubarral,2,0.9,2,0.97891791
Cubarral,2,0.9,3,0.98034632
Cubarral,2,0.9,4,0.984886202
Cubarral,2,0.9,5,0.9841627
Cubarral,2,1,2,1
Cubarral,2,1,3,1
Cubarral,2,1,4,1
Cubarral,2,1,5,1
