"","Fecha","Municipio","precipitacion","dias_lluvia"
"266","2007-10","Villavicencio",482.9,24
"267","2007-11","Acacías",353,19
"268","2007-11","Cubarral",994,25
"269","2007-11","Villavicencio",275.1,20
"270","2007-12","Acacías",135,16
"271","2007-12","Cubarral",491,23
"272","2007-12","Villavicencio",138,19
"273","2008-01","Acacías",87,6
"274","2008-01","Cubarral",210,17
"275","2008-01","Villavicencio",34.3,7
"276","2008-02","Acacías",61,8
"277","2008-02","Cubarral",232,15
"278","2008-02","Villavicencio",20.8,11
"279","2008-03","Acacías",42,6
"280","2008-03","Cubarral",189,18
"281","2008-03","Villavicencio",25.2,7
"282","2008-04","Acacías",312,19
"283","2008-04","Cubarral",365,23
"284","2008-04","Villavicencio",458.9,21
"285","2008-05","Acacías",749,24
"286","2008-05","Cubarral",783,25
"287","2008-05","Villavicencio",688.1,29
"288","2008-06","Acacías",557,27
"289","2008-06","Cubarral",721,28
"290","2008-06","Villavicencio",704.7,29
"291","2008-07","Acacías",546,28
"292","2008-07","Cubarral",761,27
"293","2008-07","Villavicencio",572.4,29
"294","2008-08","Acacías",371,19
"295","2008-08","Cubarral",497,23
"296","2008-08","Villavicencio",330.2,23
"297","2008-09","Acacías",511,21
"298","2008-09","Cubarral",391,21
"299","2008-09","Villavicencio",485.4,26
"300","2008-10","Acacías",608,25
"301","2008-10","Cubarral",722,24
"302","2008-10","Villavicencio",424.2,26
"303","2008-11","Acacías",580,18
"304","2008-11","Villavicencio",443.3,24
"305","2008-12","Acacías",244,11
"306","2008-12","Villavicencio",236.2,15
"307","2009-01","Acacías",114,13
"308","2009-01","Cubarral",327,20
"309","2009-01","Villavicencio",89.8,19
"310","2009-02","Acacías",67,9
"311","2009-02","Cubarral",105,12
"312","2009-02","Villavicencio",64,11
"313","2009-03","Acacías",388,21
"314","2009-03","Cubarral",903,24
"315","2009-03","Villavicencio",201.7,20
"316","2009-04","Acacías",522,21
"317","2009-04","Cubarral",776,27
"318","2009-04","Villavicencio",449.7,24
"319","2009-05","Acacías",635,22
"320","2009-05","Cubarral",620,26
"321","2009-05","Villavicencio",625.1,21
"322","2009-06","Acacías",637,24
"323","2009-06","Cubarral",709,24
"324","2009-06","Villavicencio",703.6,25
"325","2009-07","Acacías",453,25
"326","2009-07","Cubarral",643,30
"327","2009-07","Villavicencio",484.6,27
"328","2009-08","Acacías",495,18
"329","2009-08","Cubarral",796,26
"330","2009-08","Villavicencio",474.1,26
"331","2009-09","Acacías",277,13
"332","2009-09","Cubarral",485,21
"333","2009-09","Villavicencio",326.9,18
"334","2009-10","Acacías",362,18
"335","2009-10","Cubarral",481,24
"336","2009-10","Villavicencio",597.2,22
"337","2009-11","Acacías",322,15
"338","2009-11","Cubarral",539,21
"339","2009-11","Villavicencio",260.9,15
"340","2009-12","Acacías",82,7
"341","2009-12","Cubarral",299,17
"342","2009-12","Villavicencio",50.6,9
"343","2010-01","Acacías",0,0
"344","2010-01","Cubarral",6,3
"345","2010-01","Villavicencio",0.1,1
"346","2010-02","Acacías",155,9
"347","2010-02","Cubarral",245,13
"348","2010-02","Villavicencio",115.6,9
"349","2010-03","Acacías",447,18
"350","2010-03","Cubarral",563,26
"351","2010-03","Villavicencio",426.3,20
"352","2010-04","Acacías",537,22
"353","2010-04","Cubarral",773,28
"354","2010-04","Villavicencio",627,26
"355","2010-05","Acacías",689,21
"356","2010-05","Cubarral",1034,27
"357","2010-05","Villavicencio",580.5,28
"358","2010-06","Acacías",622,24
"359","2010-06","Cubarral",580,26
"360","2010-06","Villavicencio",584.2,27
"361","2010-07","Acacías",613,23
"362","2010-07","Cubarral",795,29
"363","2010-07","Villavicencio",630.2,30
"364","2010-08","Acacías",388,17
"365","2010-08","Cubarral",276,24
"366","2010-08","Villavicencio",451.7,23
"367","2010-09","Acacías",339,14
"368","2010-09","Cubarral",359,19
"369","2010-09","Villavicencio",332.3,18
"370","2010-10","Acacías",398,24
"371","2010-10","Cubarral",599,25
"372","2010-10","Villavicencio",488.9,25
"373","2010-11","Acacías",691,22
"374","2010-11","Cubarral",752,28
"375","2010-11","Villavicencio",399.6,23
"376","2010-12","Acacías",609,17
"377","2010-12","Cubarral",645,26
"378","2010-12","Villavicencio",392.7,18
"379","2011-01","Acacías",95,8
"380","2011-01","Cubarral",195,16
"381","2011-01","Villavicencio",90.3,7
"382","2011-02","Acacías",93,12
"383","2011-02","Cubarral",517,20
"384","2011-02","Villavicencio",144.5,10
"385","2011-03","Acacías",290,19
"386","2011-03","Cubarral",591,28
"387","2011-03","Villavicencio",175.2,22
"388","2011-04","Acacías",830,22
"389","2011-04","Cubarral",922,29
"390","2011-04","Villavicencio",469.1,25
"391","2011-05","Acacías",632,27
"392","2011-05","Cubarral",861,31
"393","2011-05","Villavicencio",632.7,30
"394","2011-06","Acacías",531,22
"395","2011-06","Cubarral",686,26
"396","2011-06","Villavicencio",529.4,26
"397","2011-07","Acacías",359,19
"398","2011-07","Cubarral",538,29
"399","2011-07","Villavicencio",367.4,27
"400","2011-08","Acacías",343,17
"401","2011-08","Cubarral",400,23
"402","2011-08","Villavicencio",361.6,24
"403","2011-09","Acacías",285,17
"404","2011-09","Cubarral",453,22
"405","2011-09","Villavicencio",592.7,22
"406","2011-10","Acacías",447,19
"407","2011-10","Cubarral",781,28
"408","2011-10","Villavicencio",337.9,22
"409","2011-11","Acacías",589,25
"410","2011-11","Cubarral",692,29
"411","2011-11","Villavicencio",576.6,28
"412","2011-12","Acacías",462,19
"413","2011-12","Cubarral",906,29
"414","2011-12","Villavicencio",357.2,21
"415","2012-01","Acacías",82,8
"416","2012-01","Cubarral",354,22
"417","2012-01","Villavicencio",36.6,12
"418","2012-02","Acacías",95,5
"419","2012-02","Cubarral",335,17
"420","2012-02","Villavicencio",106.9,9
"421","2012-03","Acacías",660,23
"422","2012-03","Cubarral",975,29
"423","2012-03","Villavicencio",536.8,26
"424","2012-04","Acacías",541.5,21
